Disease Name,Short Description,General Precautions,Recommended Doctor / Specialist
systemic lupus erythematosis (sle),systemic lupus erythematosis (sle) — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
premature ovarian failure,premature ovarian failure — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Gynecologist
thoracic outlet syndrome,thoracic outlet syndrome — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
ganglion cyst,ganglion cyst — usually a benign growth or structural abnormality; evaluation may include imaging and specialist referral.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
dislocation of the knee,"dislocation of the knee — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Orthopedic surgeon
crohn disease,crohn disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
postoperative infection,postoperative infection — an infectious condition caused by pathogens; symptoms and severity vary by agent and host factors.,Seek medical evaluation if symptoms are severe or persistent; Maintain hygiene; follow clinician's advice on isolation and antibiotics/antivirals if prescribed,Infectious disease specialist
folate deficiency,folate deficiency — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
fluid overload,fluid overload — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
atrial flutter,atrial flutter — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Cardiologist
skin disorder,skin disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Dermatologist
floaters,floaters — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
tooth disorder,tooth disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
heart attack,heart attack — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Cardiologist; ENT (Otolaryngologist)
open wound of the abdomen,"open wound of the abdomen — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
fracture of the leg,"fracture of the leg — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Orthopedic surgeon
oral thrush (yeast infection),oral thrush (yeast infection) — an infectious condition caused by pathogens; symptoms and severity vary by agent and host factors.,Seek medical evaluation if symptoms are severe or persistent; Maintain hygiene; follow clinician's advice on isolation and antibiotics/antivirals if prescribed,Infectious disease specialist
pityriasis rosea,pityriasis rosea — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
allergy to animals,allergy to animals — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; Avoid triggers, take inhalers or prescribed meds, and get vaccinations (flu, pneumococcal) as advised",Primary care physician (General practitioner / Family physician)
orthostatic hypotension,orthostatic hypotension — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
obstructive sleep apnea (osa),obstructive sleep apnea (osa) — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
hypokalemia,hypokalemia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
psoriasis,psoriasis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Dermatologist
dislocation of the shoulder,"dislocation of the shoulder — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Orthopedic surgeon
intussusception,intussusception — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
cervicitis,cervicitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
abscess of the pharynx,abscess of the pharynx — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Maintain hygiene; follow clinician's advice on isolation and antibiotics/antivirals if prescribed,ENT (Otolaryngologist); Infectious disease specialist
primary thrombocythemia,primary thrombocythemia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
arthritis of the hip,arthritis of the hip — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Orthopedic surgeon
decubitus ulcer,decubitus ulcer — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
hypernatremia,hypernatremia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Endocrinologist
sensorineural hearing loss,sensorineural hearing loss — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,ENT (Otolaryngologist)
chronic ulcer,chronic ulcer — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
osteoporosis,osteoporosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Orthopedic surgeon
ileus,ileus — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Gastroenterologist / General surgeon
sickle cell crisis,sickle cell crisis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
urethritis,urethritis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
prostatitis,prostatitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Urologist
otitis externa (swimmer's ear),otitis externa (swimmer's ear) — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,ENT (Otolaryngologist)
poisoning due to anticonvulsants,poisoning due to anticonvulsants — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; In cases of poisoning/overdose, seek immediate emergency care and contact poison control",Primary care physician (General practitioner / Family physician)
testicular torsion,testicular torsion — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Urologist
tricuspid valve disease,tricuspid valve disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Cardiologist
urethral stricture,urethral stricture — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Urologist
vitamin d deficiency,vitamin d deficiency — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
hydatidiform mole,hydatidiform mole — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
pain disorder affecting the neck,pain disorder affecting the neck — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
tuberculosis,tuberculosis — an infectious condition caused by pathogens; symptoms and severity vary by agent and host factors.,Seek medical evaluation if symptoms are severe or persistent; Maintain hygiene; follow clinician's advice on isolation and antibiotics/antivirals if prescribed,Infectious disease specialist
pelvic fistula,pelvic fistula — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
acute bronchiolitis,acute bronchiolitis — a respiratory condition that affects breathing due to airway inflammation or lung damage.,"Seek medical evaluation if symptoms are severe or persistent; Avoid triggers, take inhalers or prescribed meds, and get vaccinations (flu, pneumococcal) as advised",Pulmonologist
presbyopia,presbyopia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
dementia,dementia — an acute neurological event caused by interruption of blood flow or bleeding in the brain; urgent care needed.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
insect bite,insect bite — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
paroxysmal ventricular tachycardia,paroxysmal ventricular tachycardia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Cardiologist
congenital heart defect,congenital heart defect — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Cardiologist; ENT (Otolaryngologist)
connective tissue disorder,connective tissue disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
foreign body in the eye,foreign body in the eye — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Ophthalmologist
poisoning due to gas,poisoning due to gas — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; In cases of poisoning/overdose, seek immediate emergency care and contact poison control",Primary care physician (General practitioner / Family physician)
pyogenic skin infection,pyogenic skin infection — an infectious condition caused by pathogens; symptoms and severity vary by agent and host factors.,Seek medical evaluation if symptoms are severe or persistent; Maintain hygiene; follow clinician's advice on isolation and antibiotics/antivirals if prescribed,Dermatologist; Infectious disease specialist
endometrial hyperplasia,endometrial hyperplasia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Endocrinologist; Gynecologist
acanthosis nigricans,acanthosis nigricans — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
central atherosclerosis,central atherosclerosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
viral exanthem,viral exanthem — an infectious condition caused by pathogens; symptoms and severity vary by agent and host factors.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Infectious disease specialist
noninfectious gastroenteritis,noninfectious gastroenteritis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Gastroenterologist / General surgeon; Infectious disease specialist
benign prostatic hyperplasia (bph),benign prostatic hyperplasia (bph) — usually a benign growth or structural abnormality; evaluation may include imaging and specialist referral.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Endocrinologist; Urologist
menopause,menopause — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
primary immunodeficiency,primary immunodeficiency — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
ovarian cancer,ovarian cancer — a malignant disease characterized by uncontrolled growth of abnormal cells; presentation and treatment vary by cancer type.,Seek medical evaluation if symptoms are severe or persistent; Early evaluation and referral to oncology for staging and treatment planning,Gynecologist; Medical oncologist; Oncologist; Surgical oncologist
cataract,cataract — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Ophthalmologist
dislocation of the hip,"dislocation of the hip — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Orthopedic surgeon
spinal stenosis,spinal stenosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
intestinal obstruction,intestinal obstruction — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
heart contusion,heart contusion — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Cardiologist; ENT (Otolaryngologist)
congenital malformation syndrome,congenital malformation syndrome — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
sporotrichosis,sporotrichosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
lymphangitis,lymphangitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
wernicke korsakoff syndrome,wernicke korsakoff syndrome — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
intestinal disease,intestinal disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
acute bronchitis,acute bronchitis — a respiratory condition that affects breathing due to airway inflammation or lung damage.,"Seek medical evaluation if symptoms are severe or persistent; Avoid triggers, take inhalers or prescribed meds, and get vaccinations (flu, pneumococcal) as advised",Pulmonologist
persistent vomiting of unknown cause,persistent vomiting of unknown cause — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
open wound of the foot,"open wound of the foot — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
myocarditis,myocarditis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Cardiologist
preeclampsia,preeclampsia — a condition related to pregnancy; management depends on the specific diagnosis and obstetric evaluation.,Seek medical evaluation if symptoms are severe or persistent; Attend regular antenatal care and follow obstetrician guidance,Obstetrician-Gynecologist
ischemic heart disease,ischemic heart disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Cardiologist; ENT (Otolaryngologist)
neurofibromatosis,neurofibromatosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
chickenpox,chickenpox — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
pancreatic cancer,pancreatic cancer — a malignant disease characterized by uncontrolled growth of abnormal cells; presentation and treatment vary by cancer type.,Seek medical evaluation if symptoms are severe or persistent; Early evaluation and referral to oncology for staging and treatment planning,Medical oncologist; Oncologist; Surgical oncologist
neuropathy due to drugs,neuropathy due to drugs — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
croup,croup — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
idiopathic excessive menstruation,idiopathic excessive menstruation — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
amblyopia,amblyopia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Ophthalmologist
meckel diverticulum,meckel diverticulum — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Gastroenterologist / General surgeon
dislocation of the wrist,"dislocation of the wrist — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Orthopedic surgeon
ear drum damage,ear drum damage — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,ENT (Otolaryngologist)
erectile dysfunction,erectile dysfunction — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Urologist
temporary or benign blood in urine,temporary or benign blood in urine — usually a benign growth or structural abnormality; evaluation may include imaging and specialist referral.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
kidney disease due to longstanding hypertension,kidney disease due to longstanding hypertension — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; Control risk factors: smoking cessation, healthy diet, regular exercise, and medication adherence",Endocrinologist; Nephrologist
chondromalacia of the patella,chondromalacia of the patella — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
onychomycosis,onychomycosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
urethral disorder,urethral disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Urologist
lyme disease,lyme disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
iron deficiency anemia,iron deficiency anemia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
acute respiratory distress syndrome (ards),acute respiratory distress syndrome (ards) — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
toxic multinodular goiter,toxic multinodular goiter — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
open wound of the finger,"open wound of the finger — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
autonomic nervous system disorder,autonomic nervous system disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
psychosexual disorder,psychosexual disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
anemia,anemia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
tendinitis,tendinitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
common cold,common cold — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
amyotrophic lateral sclerosis (als),amyotrophic lateral sclerosis (als) — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
central retinal artery or vein occlusion,central retinal artery or vein occlusion — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Ophthalmologist
paroxysmal supraventricular tachycardia,paroxysmal supraventricular tachycardia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Cardiologist
venous insufficiency,venous insufficiency — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
trichomonas infection,trichomonas infection — an infectious condition caused by pathogens; symptoms and severity vary by agent and host factors.,Seek medical evaluation if symptoms are severe or persistent; Maintain hygiene; follow clinician's advice on isolation and antibiotics/antivirals if prescribed,Infectious disease specialist
acne,acne — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Dermatologist
depression,"depression — a mental health condition that affects mood, thoughts, or behavior; often treated with therapy and/or medication.","Seek medical evaluation if symptoms are severe or persistent; Seek mental health support; consider therapy, crisis support if suicidal or at risk",Psychiatrist / Psychologist
drug abuse,drug abuse — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; Seek mental health support; consider therapy, crisis support if suicidal or at risk",Psychiatrist / Psychologist
urinary tract obstruction,urinary tract obstruction — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
diabetes insipidus,diabetes insipidus — a metabolic disorder affecting blood sugar regulation; management includes lifestyle measures and medication.,"Seek medical evaluation if symptoms are severe or persistent; Control risk factors: smoking cessation, healthy diet, regular exercise, and medication adherence",Endocrinologist
iridocyclitis,iridocyclitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
varicocele of the testicles,varicocele of the testicles — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Urologist
irritable bowel syndrome,irritable bowel syndrome — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
fracture of the foot,"fracture of the foot — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Orthopedic surgeon
ovarian cyst,ovarian cyst — usually a benign growth or structural abnormality; evaluation may include imaging and specialist referral.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Gynecologist
chlamydia,chlamydia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
parasitic disease,parasitic disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
